oli_seqid,cust_seqid,parent_cust_seqid,subid,odbid,order_seqid,oli_unit_monthly_net,oli_qty,order_bridge,focus_list,order_util,sku,sku_family,sku_arr,sku_base,sku_fee,sku_active,sku_subscription,sku_perpetual,sku_maint,sku_host,sku_ondemand,sku_onprem,sord,oli_start_dt,oli_end_dt,oli_mbg_dt,rep_supercede_dt,mbg_cancel_dt,non_renew_dt,oli_mct_dt,arr_odb,seats_odb,start_month,oli_start,end_month,ca_account_id,ca_account_name,end_user_ca_account_id,end_user_ca_account_name,geo,operating_area,sales_region,territory,account_segment,currency_code
30826,61899,61899,61899,61899,40246387,,150,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42065,42064,43159,,,,,,62622,150,42644,42064,43132,NR52852,International Game Technology Inc,,,NAmer,NA_WEST,NA_WEST,NA_WEST_SOCAL,Commercial,USD
30827,-407,-407,-407,-407,40246388,,100,0,0,0,ACULTE990,UE,1,1,0,1,1,0,0,0,0,1,42068,42095,43190,,,,,,30576,100,42644,42064,43160,NR50034,Td Ameritrade Holding Corporation,,,NAmer,NA_CEN,NA_CEN,NA_CEN_GREATLAKES,Gold,USD
30828,-407,-407,-407,-407,40246388,,100,0,0,0,ACULTE990,UE,1,1,0,1,1,0,0,0,0,1,42068,42095,43190,,,,,,30576,100,42644,42064,43160,NR50034,Td Ameritrade Holding Corporation,,,NAmer,NA_CEN,NA_CEN,NA_CEN_GREATLAKES,Gold,USD
30829,-407,-407,-407,-407,40246388,,100,0,0,0,ACULTE990,UE,1,1,0,1,1,0,0,0,0,1,42068,42095,43190,,,,,,30576,100,42644,42064,43160,NR50034,Td Ameritrade Holding Corporation,,,NAmer,NA_CEN,NA_CEN,NA_CEN_GREATLAKES,Gold,USD
30830,-407,-407,-407,-407,40246388,,1,0,0,0,ACSFSB990,UE,1,0,0,1,1,0,0,0,0,1,42068,42095,43190,,,,,,1300,0,42644,42064,43160,NR50034,Td Ameritrade Holding Corporation,,,NAmer,NA_CEN,NA_CEN,NA_CEN_GREATLAKES,Gold,USD
30831,-407,-407,-407,-407,40246388,,150,0,0,0,ACULTE990,UE,1,1,0,1,1,0,0,0,0,1,42068,42095,43190,,,,,,45864,150,42644,42064,43160,NR50034,Td Ameritrade Holding Corporation,,,NAmer,NA_CEN,NA_CEN,NA_CEN_GREATLAKES,Gold,USD
30832,60462,60462,60462,60462,40246389,,55,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42104,42125,43039,,,,,,21830,55,42644,42095,43009,NR48806,State Street Corporation.,,,NAmer,NA_NE,NA_NE,NA_NE_NEWENG,Platinum,USD
30833,31845,7000323,31845,7000323,40246390,,40,0,0,0,FLODOC990,FDE,1,0,0,1,1,0,0,0,1,0,42123,42125,43100,,,,,,1752,0,42644,42095,43070,N122448,"Renaissance Learning, Inc.",,,NAmer,NA_CEN,NA_CEN,NA_CEN_MIDWEST,Commercial,USD
30834,48713,7000323,48713,7000323,40246390,,70,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42123,42125,43100,,,,,,30047,70,42644,42095,43070,N122448,"Renaissance Learning, Inc.",,,NAmer,NA_CEN,NA_CEN,NA_CEN_MIDWEST,Commercial,USD
30835,48713,7000323,48713,7000323,40246390,,30,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42123,42125,43100,,,,,,12877,30,42644,42095,43070,N122448,"Renaissance Learning, Inc.",,,NAmer,NA_CEN,NA_CEN,NA_CEN_MIDWEST,Commercial,USD
